"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2012","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","BULLOCK","011","","","00000000","","CORN","CORN - ACRES PLANTED","TOTAL","NOT SPECIFIED","1,300",""
"SURVEY","2012","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","DALLAS","047","","","00000000","","CORN","CORN - ACRES PLANTED","TOTAL","NOT SPECIFIED","5,000",""
"SURVEY","2012","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","ELMORE","051","","","00000000","","CORN","CORN - ACRES PLANTED","TOTAL","NOT SPECIFIED","3,000",""
"SURVEY","2012","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","HALE","065","","","00000000","","CORN","CORN - ACRES PLANTED","TOTAL","NOT SPECIFIED","1,000",""
"SURVEY","2012","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","OTHER (COMBINED) COUNTIES","","","","00000000","","CORN","CORN - ACRES PLANTED","TOTAL","NOT SPECIFIED","10,200",""
"SURVEY","2012","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","PERRY","105","","","00000000","","CORN","CORN - ACRES PLANTED","TOTAL","NOT SPECIFIED","4,000",""
"SURVEY","2012","YEAR","","COUNTY","ALABAMA","01","COASTAL PLAINS & GULF COAST","50","BALDWIN","003","","","00000000","","CORN","CORN - ACRES PLANTED","TOTAL","NOT SPECIFIED","3,100",""
"SURVEY","2012","YEAR","","COUNTY","ALABAMA","01","COASTAL PLAINS & GULF COAST","50","BUTLER","013","","","00000000","","CORN","CORN - ACRES PLANTED","TOTAL","NOT SPECIFIED","1,800",""
"SURVEY","2012","YEAR","","COUNTY","ALABAMA","01","COASTAL PLAINS & GULF COAST","50","CONECUH","035","","","00000000","","CORN","CORN - ACRES PLANTED","TOTAL","NOT SPECIFIED","800",""
"SURVEY","2012","YEAR","","COUNTY","ALABAMA","01","COASTAL PLAINS & GULF COAST","50","ESCAMBIA","053","","","00000000","","CORN","CORN - ACRES PLANTED","TOTAL","NOT SPECIFIED","2,300",""
"SURVEY","2012","YEAR","","COUNTY","ALABAMA","01","COASTAL PLAINS & GULF COAST","50","MONROE","099","","","00000000","","CORN","CORN - ACRES PLANTED","TOTAL","NOT SPECIFIED","1,400",""
"SURVEY","2012","YEAR","","COUNTY","ALABAMA","01","COASTAL PLAINS & GULF COAST","50","OTHER (COMBINED) COUNTIES","","","","00000000","","CORN","CORN - ACRES PLANTED","TOTAL","NOT SPECIFIED","1,800",""
"SURVEY","2012","YEAR","","COUNTY","ALABAMA","01","COASTAL PLAINS & GULF COAST","50","WILCOX","131","","","00000000","","CORN","CORN - ACRES PLANTED","TOTAL","NOT SPECIFIED","1,100",""
"SURVEY","2012","YEAR","","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY","20","BLOUNT","009","","","00000000","","CORN","CORN - ACRES PLANTED","TOTAL","NOT SPECIFIED","1,900",""
"SURVEY","2012","YEAR","","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY","20","CALHOUN","015","","","00000000","","CORN","CORN - ACRES PLANTED","TOTAL","NOT SPECIFIED","1,600",""
"SURVEY","2012","YEAR","","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY","20","CHEROKEE","019","","","00000000","","CORN","CORN - ACRES PLANTED","TOTAL","NOT SPECIFIED","4,800",""
"SURVEY","2012","YEAR","","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY","20","CULLMAN","043","","","00000000","","CORN","CORN - ACRES PLANTED","TOTAL","NOT SPECIFIED","3,500",""
"SURVEY","2012","YEAR","","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY","20","DE KALB","049","","","00000000","","CORN","CORN - ACRES PLANTED","TOTAL","NOT SPECIFIED","12,700",""
"SURVEY","2012","YEAR","","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY","20","ETOWAH","055","","","00000000","","CORN","CORN - ACRES PLANTED","TOTAL","NOT SPECIFIED","2,900",""
"SURVEY","2012","YEAR","","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY","20","JACKSON","071","","","00000000","","CORN","CORN - ACRES PLANTED","TOTAL","NOT SPECIFIED","28,700",""
"SURVEY","2012","YEAR","","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY","20","MARSHALL","095","","","00000000","","CORN","CORN - ACRES PLANTED","TOTAL","NOT SPECIFIED","4,500",""
"SURVEY","2012","YEAR","","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY","20","OTHER (COMBINED) COUNTIES","","","","00000000","","CORN","CORN - ACRES PLANTED","TOTAL","NOT SPECIFIED","600",""
"SURVEY","2012","YEAR","","COUNTY","ALABAMA","01","NORTHERN VALLEY","10","COLBERT","033","","","00000000","","CORN","CORN - ACRES PLANTED","TOTAL","NOT SPECIFIED","24,500",""
"SURVEY","2012","YEAR","","COUNTY","ALABAMA","01","NORTHERN VALLEY","10","FRANKLIN","059","","","00000000","","CORN","CORN - ACRES PLANTED","TOTAL","NOT SPECIFIED","4,200",""
"SURVEY","2012","YEAR","","COUNTY","ALABAMA","01","NORTHERN VALLEY","10","LAUDERDALE","077","","","00000000","","CORN","CORN - ACRES PLANTED","TOTAL","NOT SPECIFIED","26,600",""
"SURVEY","2012","YEAR","","COUNTY","ALABAMA","01","NORTHERN VALLEY","10","LAWRENCE","079","","","00000000","","CORN","CORN - ACRES PLANTED","TOTAL","NOT SPECIFIED","33,300",""
"SURVEY","2012","YEAR","","COUNTY","ALABAMA","01","NORTHERN VALLEY","10","LIMESTONE","083","","","00000000","","CORN","CORN - ACRES PLANTED","TOTAL","NOT SPECIFIED","31,900",""
"SURVEY","2012","YEAR","","COUNTY","ALABAMA","01","NORTHERN VALLEY","10","MADISON","089","","","00000000","","CORN","CORN - ACRES PLANTED","TOTAL","NOT SPECIFIED","34,900",""
"SURVEY","2012","YEAR","","COUNTY","ALABAMA","01","NORTHERN VALLEY","10","MORGAN","103","","","00000000","","CORN","CORN - ACRES PLANTED","TOTAL","NOT SPECIFIED","7,600",""
"SURVEY","2012","YEAR","","COUNTY","ALABAMA","01","NORTHERN VALLEY","10","OTHER (COMBINED) COUNTIES","","","","00000000","","CORN","CORN - ACRES PLANTED","TOTAL","NOT SPECIFIED","2,500",""
"SURVEY","2012","YEAR","","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT","30","FAYETTE","057","","","00000000","","CORN","CORN - ACRES PLANTED","TOTAL","NOT SPECIFIED","1,800",""
"SURVEY","2012","YEAR","","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT","30","LAMAR","075","","","00000000","","CORN","CORN - ACRES PLANTED","TOTAL","NOT SPECIFIED","1,300",""
"SURVEY","2012","YEAR","","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT","30","OTHER (COMBINED) COUNTIES","","","","00000000","","CORN","CORN - ACRES PLANTED","TOTAL","NOT SPECIFIED","5,500",""
"SURVEY","2012","YEAR","","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT","30","RANDOLPH","111","","","00000000","","CORN","CORN - ACRES PLANTED","TOTAL","NOT SPECIFIED","700",""
"SURVEY","2012","YEAR","","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT","30","SHELBY","117","","","00000000","","CORN","CORN - ACRES PLANTED","TOTAL","NOT SPECIFIED","1,800",""
"SURVEY","2012","YEAR","","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT","30","TALLADEGA","121","","","00000000","","CORN","CORN - ACRES PLANTED","TOTAL","NOT SPECIFIED","8,500",""
"SURVEY","2012","YEAR","","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT","30","TUSCALOOSA","125","","","00000000","","CORN","CORN - ACRES PLANTED","TOTAL","NOT SPECIFIED","2,700",""
"SURVEY","2012","YEAR","","COUNTY","ALABAMA","01","WIREGRASS","60","COFFEE","031","","","00000000","","CORN","CORN - ACRES PLANTED","TOTAL","NOT SPECIFIED","3,400",""
"SURVEY","2012","YEAR","","COUNTY","ALABAMA","01","WIREGRASS","60","DALE","045","","","00000000","","CORN","CORN - ACRES PLANTED","TOTAL","NOT SPECIFIED","2,200",""
"SURVEY","2012","YEAR","","COUNTY","ALABAMA","01","WIREGRASS","60","HENRY","067","","","00000000","","CORN","CORN - ACRES PLANTED","TOTAL","NOT SPECIFIED","2,400",""
"SURVEY","2012","YEAR","","COUNTY","ALABAMA","01","WIREGRASS","60","HOUSTON","069","","","00000000","","CORN","CORN - ACRES PLANTED","TOTAL","NOT SPECIFIED","2,100",""
"SURVEY","2012","YEAR","","COUNTY","ALABAMA","01","WIREGRASS","60","OTHER (COMBINED) COUNTIES","","","","00000000","","CORN","CORN - ACRES PLANTED","TOTAL","NOT SPECIFIED","10,600",""
"SURVEY","2012","YEAR","","COUNTY","ALABAMA","01","WIREGRASS","60","PIKE","109","","","00000000","","CORN","CORN - ACRES PLANTED","TOTAL","NOT SPECIFIED","2,400",""
"SURVEY","2012","YEAR","","COUNTY","ALABAMA","01","WIREGRASS","60","RUSSELL","113","","","00000000","","CORN","CORN - ACRES PLANTED","TOTAL","NOT SPECIFIED","1,100",""
"SURVEY","2012","YEAR","","COUNTY","ARKANSAS","05","CENTRAL","50","CONWAY","029","","","00000000","","CORN","CORN - ACRES PLANTED","TOTAL","NOT SPECIFIED","3,600",""
