isolate	species 	clade	chem 	RelEC50 	time pt
MICO_4-15	aff. torulosum 	B	ethaboxam 	12.72803322	24
MICO_6-21	aff. torulosum 	B	ethaboxam 	259.685679	24
C-MICO2_1-13	aff. torulosum 	B	ethaboxam 	783.7980885	24
MICO_5-36	aff. torulosum 	B	ethaboxam 	3700.556164	24
MICO_5-8	arrhenomanes	B	ethaboxam 	0.022131813	48
MICO_2-30	inflatum	B	ethaboxam 	0.193502687	48
MICO_1-3	inflatum	B	ethaboxam 	0.197906473	24
C-MICO2_1-10	inflatum	B	ethaboxam 	0.296983964	24
MICO_3-1	inflatum	B	ethaboxam 	0.328021266	48
ILSO_5-49B	oopapillum 	B	ethaboxam 	0.719412534	24
MICO_5-23	periilum	B	ethaboxam 	0.203980663	24
MICO_6-36	periilum	B	ethaboxam 	0.41002657	24
MICO_5-3	periilum	B	ethaboxam 	0.581756173	24
MICO_6-8	tardicrescens	B	ethaboxam 	0.201667075	24
MICO_6-11	tardicrescens	B	ethaboxam 	0.239869484	24
MICO_6-23	tardicrescens	B	ethaboxam 	0.26960069	24
MICO_5-13	tardicrescens	B	ethaboxam 	0.27122705	24
MICO_2-14	aff. dissotocum 	B2a 	ethaboxam 	0.102942568	24
MICO_3-46	aff. dissotocum 	B2a 	ethaboxam 	0.871246407	24
C-MICO2_1-18	aff. dissotocum 	B2a 	ethaboxam 	0.634981394	48
MICO_4-6	lutarium	B2a 	ethaboxam 	0.051024176	24
MICO_3-11	lutarium	B2a 	ethaboxam 	0.070028367	24
MICO_3-21	lutarium	B2a 	ethaboxam 	1.672905465	24
MICO_3-26	lutarium	B2a 	ethaboxam 	5.444938766	48
MICO_6-7	acanthicum 	D	ethaboxam 	0.58894671	24
MICO_6-9	amasculinum	D	ethaboxam 	0.841455203	24
MICO_6-20	amasculinum	D	ethaboxam 	1.324102788	24
V-MICO2_3-10	pleroticum	E	ethaboxam 	0.277059471	24
MICO_4-5	pleroticum	E	ethaboxam 	0.679511796	24
C-MICO2_3-15	rostratifingens	E	ethaboxam 	14.36675217	48
C-MICO2_3-11	rostratifingens	E	ethaboxam 	1276.850644	48
C-MICO2_3-17	rostratifingens	E	ethaboxam 	1.93249E+35	48
MICO_4-14	attrantheridium	F	ethaboxam 	0.363090595	48
C-MICO2_3-19	irregulare	F	ethaboxam 	0.128007083	24
C-MICO2_5-15	irregulare	F	ethaboxam 	0.242767754	24
C-MICO2_1-6	irregulare	F	ethaboxam 	0.29004608	48
MISO_11-6	irregulare	F	ethaboxam 	2.041834323	48
C-MICO2_1-23	sylvaticum	F	ethaboxam 	0.088285219	24
C-MICO2_1-1	sylvaticum	F	ethaboxam 	0.137349158	24
MICO_2-50	sylvaticum	F	ethaboxam 	1.872565424	48
MICO_6-6	heterothallicum	I	ethaboxam 	0.838627308	24
C-MICO2_3-10	heterothallicum	I	ethaboxam 	0.962560421	48
C-MICO2_1-20	heterothallicum	I	ethaboxam 	1.109920058	48
MICO_1-5	ultimum var. ultimum	I	ethaboxam 	0.205167232	24
C-MICO2_4-22	ultimum var. ultimum	I	ethaboxam 	0.267216333	24
V-MICO2_2-9	ultimum var. ultimum	I	ethaboxam 	0.547910975	24
V-MICO2_2-19	ultimum var. ultimum	I	ethaboxam 	0.871226346	24
C-MICO2_2-7	ultimum var. ultimum	I	ethaboxam 	1.429529428	24
V-MICO2_2-14	ultimum	I	ethaboxam 	0.0978399	24
MICO_1-4	ultimum	I	ethaboxam 	0.140004502	48
