Field_Code	State	Sample	Host	Year	Sampling date	Lat	Long
MICO_1	MI	1	CO	2011	6/1/11	41.86367	-86.51333
MICO_2	MI	2	CO	2011	7/7/11	42.42227	-85.87778
MICO_3	MI	3	CO	2011	6/7/11	42.71025	-85.61255
MICO_4	MI	4	CO	2011	6/3/11	42.82768	-84.49871
MICO_5	MI	5	CO	2011	7/5/11	41.8093	-85.65289
MICO_6	MI	6	CO	2011	7/5/11	41.8095	-85.60754
MICO2_1	MI	2_1	CO	2012	6/14/12	42.6505	-84.02376
MICO2_2	MI	2_2	CO	2012	6/19/12	41.9993	-85.42121
MICO2_3	MI	2_3	CO	2012	6/20/12	42.8114	-84.62476
MICO2_4	MI	2_4	CO	2012	6/21/12	42.68218	-86.07404
MICO2_5	MI	2_5	CO	2012	6/21/12	42.87173	-85.13419
