group	State	State2	Year	St_Yr	Host	Lat	Long	CDL_2011	CDL_2012	Slope_Avg	Aspect	SurfText	AWC	CEC7	Clay	Db3rdbar	EC	ECEC	OrgMatter	pHwater	Sand	Silt	WC3rdbar	Precip_2011	Precip_2012	TMax_30yr_avg	TMax_2011	TMax_2012	TMean_30yr_avg	TMean_2011	TMean2012	TMin_30yr_avg	TMin_2011	TMin_2012	Precip_30yr_avg	Water_Source	Shape_Length	Shape_Area	Tmin_April_2012	Tmin_May_2012	Tmin_June_2012	Tmin_July_2012	Tmin_April_2011	Tmin_May_2011	Tmin_June_2011	Tmin_July_2011	Tmean_April_2012	Tmean_May_2012	Tmean_June_2012	Tmean_July_2012	Tmean_April_2011	Tmean_May_2011	Tmean_June_2011	Tmean_July_2011	Tmax_April_2012	Tmax_May_2012	Tmax_June_2012	Tmax_July_2012	Tmax_April_2011	Tmax_May_2011	Tmax_June_2011	Tmax_July_2011	Precip_April_2012	Precip_May_2012	Precip_June_2012	Precip_July_2012	Precip_April_2011	Precip_May_2011	Precip_June_2011	Precip_July_2011
MICO_1	MICO	Michigan	2011	Michigan 2011	CORN	41.86367	-86.51333	Corn	Corn	0.784912162	322	Loamy sand	0.107750239	6.304387082	16.82191919	1.474501385	0	0	0.509438092	6.971884199	62.68060941	20.50320642	21.082551	1138.267944	852.6190186	14.78999996	14.75208282	16.77641678	9.609999657	9.916333199	11.35329151	4.420000076	5.080583572	5.930166721	995.7000122	Rain-fed	386.725222	8638.730407	3.220000029	10.77999973	13.43000031	19.32999992	3.400000095	9.399999619	14.63000011	18.88999939	9.144999504	17.34499931	20.33499908	25.56000137	8.395000458	14.69999981	20.21500015	24.32500076	15.06999969	23.90999985	27.23999977	31.79000092	13.39000034	20	25.79999924	29.76000023	58	59.29000092	52.11000061	116.8199997	178.2799988	157.4299927	91.29000092	104.8799973
MICO_2	MICO	Michigan	2011	Michigan 2011	CORN	42.42227	-85.87778	Corn	Corn	0.348446022	48	Silt loam	0.106556457	14.80608953	24.41980229	1.592100807	0	0	0.615976594	6.939182339	42.18255887	33.39776289	25.24266689	1122.69397	840.3319702	14.72999954	15.02133369	17.02933311	9.119999886	9.326499939	11.0154171	3.5	3.63166666	5.00150013	1004.26001	Rain-fed	386.7347236	8967.463488	0.680000007	10.11999989	13.35000038	16.90999985	2.819999933	8.600000381	13.68000031	17.07999992	8.045000076	17.07999992	20.54000092	24.80500031	8.024999619	14.72000027	20.04999924	23.81000137	15.40999985	24.04000092	27.72999954	32.70000076	13.22999954	20.84000015	26.42000008	30.54000092	77.54000092	55.06000137	40.27000046	70.56999969	176.3500061	145.75	54.11000061	155.4299927
MICO_3	MICO	Michigan	2011	Michigan 2011	CORN	42.71025	-85.61255	Corn	Corn	2.779918511	-1	Loam	0.179999939	8.699997044	26.79999089	1.605343044	0	0	0.539999817	6.999997621	35.69998787	37.59998722	29.49998998	1151.067993	829.8239746	14.39000034	14.42249966	16.60141563	9.100000381	9.332291603	11.02579117	3.809999943	4.242083549	5.450166702	955.2000122	Rain-fed	386.2579603	7111.395101	1.99000001	10.27999973	13.81000042	18.64999962	2.210000038	9.260000229	14.28999996	18.12999916	8.329999924	16.85000038	20.59499931	25.45000076	7.275000095	14.78999996	20.02000046	24.11000061	14.67000008	23.42000008	27.37999916	32.25	12.34000015	20.31999969	25.75	30.09000015	76.52999878	71.62999725	50.16999817	54.09000015	171.8099976	152.4700012	82.48999786	161.5899963
MICO_4	MICO	Michigan	2011	Michigan 2011	CORN	42.82768	-84.49871	Corn	Soybeans	1.866787916	9	Sandy loam	0.167922474	9.05456591	23.08056764	1.562990493	0	0	0.75350674	7.054560532	41.16510639	35.77537472	27.18576292	1063.750977	730.539978	13.93000031	13.99058342	16.11683273	8.609999657	9.119874954	10.67133331	3.279999971	4.249166489	5.225833416	836.4799805	Rain-fed	388.39894	7512.902069	1.649999976	10.39999962	13.93000031	18.32999992	2.220000029	9.350000381	14.56000042	18.34000015	7.879999638	16.67499924	20.36499977	24.96500015	7.125	14.43500042	19.97500038	24.34000015	14.10999966	22.95000076	26.79999924	31.60000038	12.02999973	19.52000046	25.38999939	30.34000015	53.81000137	70.19000244	48.72999954	65.34999847	151.8699951	167.1799927	59.45000076	142.3899994
MICO_5	MICO	Michigan	2011	Michigan 2011	CORN	41.8093	-85.65289	Corn	Soybeans	0.105331482	267	Sandy loam	0.110000074	5.700003841	7.800005257	1.560001051	0	0	0.92000062	6.500004381	83.100056	9.000006065	12.70000856	1201.453003	728.5949707	14.93999958	14.80249977	16.77366638	9.409999847	9.685667038	11.12487507	3.869999886	4.568833351	5.476083279	979.2800293	Rain-fed	389.2854282	8574.800726	2.650000095	11.09000015	13.93000031	18.81999969	2.829999924	9.899999619	15.03999996	18.36000061	8.835000038	17.81000137	20.83499908	25.61499977	8.26499939	15.30999947	20.62999916	24.28000069	15.02000046	24.53000069	27.73999977	32.40999985	13.69999981	20.71999931	26.21999931	30.20000076	40.22000122	36.63999939	33.02000046	94.98000336	164.1399994	164.4799957	71.83999634	95.16000366
MICO_6	MICO	Michigan	2011	Michigan 2011	CORN	41.8095	-85.60754	Corn	Corn	0.099772612	341	Sandy loam	0.109999725	5.699985769	7.799980526	1.559996105	0	0	0.919997703	6.499983771	83.09979252	8.999977529	12.69996829	1192.640991	718.473999	14.93000031	14.74891663	16.70633316	9.430000305	9.65704155	11.08216667	3.930000067	4.565166473	5.458000183	977.7199707	Irrigated	390.3836889	6812.035509	2.779999971	11.07999992	13.89999962	18.69000053	2.839999914	9.93999958	15	18.28000069	8.859999657	17.75	20.77000046	25.49499893	8.239999771	15.30500031	20.57999992	24.20499992	14.93999958	24.42000008	27.63999939	32.29999924	13.64000034	20.67000008	26.15999985	30.12999916	40.31000137	34.59000015	31.93000031	91.06999969	158.4900055	163.9499969	70.30000305	93.51999664
MICO2_1	MICO2	Michigan	2012	Michigan 2012	CORN	42.6505	-84.02376	Corn	Corn	0.99561934	154	Loam	0.153247381	13.66236978	25.48689968	1.5659098	0	0	0.624557789	7.341805462	37.75610616	36.68948024	30.03197682	1114.564941	727.8920288	14.19999981	14.12349987	16.29216766	8.779999733	9.072542191	10.57337475	3.349999905	4.021583557	4.854583263	822.3400269	Rain-fed	384.8046119	9154.569135	1.399999976	10.10000038	13.43000031	17.12000084	2.019999981	9.119999886	14.34000015	17.84000015	7.829999924	16.60499954	20.16500092	24.40999985	7.034999847	14.28999901	19.95499992	24.27000046	14.26000023	23.11000061	26.89999962	31.70000076	12.05000019	19.45999908	25.56999969	30.70000076	46.86000061	72.31999969	45.5	78.09999847	153.5899963	178.7100067	53.56999969	143.0599976
MICO2_2	MICO2	Michigan	2012	Michigan 2012	CORN	41.9993	-85.42121	Corn	Soybeans	0.329490307	315	Sandy loam	0.109168534	5.645957098	7.804143612	1.559581795	0	0	0.899216359	6.5124586	83.07908136	9.020767345	12.69166628	1181.863037	785.7730103	14.81999969	14.631917	16.5953331	9.350000381	9.524833679	10.95475006	3.880000114	4.417749882	5.314166546	977.5999756	Irrigated	383.0652778	8804.45845	2.460000038	10.80000019	13.81999969	18.67000008	2.74000001	9.960000038	14.96000004	18.14999962	8.579999924	17.40999985	20.68000031	25.51499939	8.005000114	15.21999931	20.51499939	24.17499924	14.69999981	24.02000046	27.54000092	32.36000061	13.27000046	20.47999954	26.06999969	30.20000076	52.81999969	36.93000031	31.81999969	87.44999695	166.6300049	164.2899933	54.20000076	118.7699966
MICO2_3	MICO2	Michigan	2012	Michigan 2012	CORN	42.8114	-84.62476	Soybeans	Corn	2.10699428	50	Sandy loam	0.159999941	8.49998373	21.111247	1.464511881	0.003223157	0	0.49968144	6.516100252	49.70974638	29.27735813	23.75156177	1064.197021	747.1480103	14.02000046	13.99091625	16.16391563	8.640000343	9.130833626	10.72087479	3.25999999	4.270750046	5.277833462	840.9500122	Rain-fed	383.307583	9013.357052	1.799999952	10.60000038	13.93000031	18.42000008	2.24000001	9.5	14.53999996	18.26000023	8.029999733	16.88500023	20.39500046	25.09000015	7.170000076	14.56499958	19.97500038	24.28499985	14.26000023	23.17000008	26.86000061	31.76000023	12.10000038	19.62999916	25.40999985	30.30999947	59.36999893	70.58000183	51.84999847	63.33000183	148.6100006	166.1499939	57.29000092	152.25
MICO2_4	MICO2	Michigan	2012	Michigan 2012	CORN	42.68218	-86.07404	Soybeans	Developed/Low Intensity	0.500797012	169	Silt loam	0.169999947	12.20538839	34.48148797	1.544208205	0	0	0.865791049	7.574745555	17.26965844	48.24882264	29.8400608	1079.018066	826.3889771	14.02999973	14.37325001	16.66758347	9.119999886	9.790333748	11.63137531	4.199999809	5.207416534	6.595166683	929.8800049	Rain-fed	384.6988932	8763.228391	3.150000095	11.30000019	14.89999962	19.62999916	3.170000076	9.819999695	15.14999962	18.98999977	8.739999771	17.21500015	21.07999992	25.85499954	7.610000134	14.91499996	20.29500008	24.29999924	14.32999992	23.12999916	27.26000023	32.08000183	12.05000019	20.01000023	25.44000053	29.61000061	67.76999664	75.76000214	38.65999985	64.05999756	149.6300049	138.9299927	72.94000244	138.4199982
