	MICO_1	MICO_2	MICO_3	MICO_4	MICO_5	MICO_6	MICO2_1	MICO2_2	MICO2_3	MICO2_4	MICO2_5
OTU1	0	1	0	0	0	0	0	0	0	0	0
OTU2	0	0	0	0	0	0	1	0	0	0	0
OTU3	0	0	3	0	0	0	0	0	0	0	0
OTU4	0	0	0	0	1	1	0	0	0	1	0
OTU5	0	1	1	0	0	0	1	0	0	0	0
OTU6	0	0	0	2	2	3	2	0	0	0	0
OTU7	0	0	0	0	0	2	0	0	0	0	1
OTU8	0	0	0	0	0	0	0	0	0	0	1
OTU9	0	0	0	0	1	0	0	0	0	0	1
OTU10	0	0	0	1	2	0	0	0	0	0	0
OTU11	0	0	0	1	0	0	0	0	1	1	0
OTU12	0	0	0	0	0	1	1	0	2	0	1
OTU13	0	0	0	0	0	0	0	0	0	0	1
OTU14	3	13	22	0	0	0	3	0	0	0	0
OTU15	1	1	0	0	0	0	1	0	4	0	2
OTU16	0	1	0	0	0	0	0	0	0	0	0
OTU17	0	1	0	0	0	0	0	0	0	0	0
OTU18	0	0	5	1	0	0	0	0	1	0	0
OTU19	0	0	0	0	0	0	0	0	1	0	0
OTU20	0	0	0	0	0	1	0	0	0	0	0
OTU21	0	0	0	0	0	0	0	0	0	0	1
OTU22	0	0	0	0	2	1	0	0	0	0	1
OTU23	0	0	1	0	0	0	0	0	0	0	0
OTU24	0	0	0	0	2	1	0	0	0	0	0
OTU25	0	0	0	0	0	1	0	0	0	0	0
OTU26	0	0	2	1	0	0	1	0	1	0	0
OTU27	0	0	1	1	0	0	0	0	1	0	0
OTU28	0	0	0	0	0	1	0	1	4	0	0
OTU29	0	0	1	0	0	0	0	0	0	0	0
OTU30	3	11	1	1	0	0	3	0	2	0	0
OTU31	0	0	0	0	1	9	0	0	0	0	0
OTU32	1	0	0	0	0	1	0	1	0	0	1
OTU33	1	0	0	0	0	0	0	2	0	1	1
