	Phylum	Class	Order	Family	Genus	Clade	Species
OTU1	"Heterokontophyta"	"Oomycota"	"Pythiales"	"Pythiaceae"	"Phytophthora"	"Phytophthora_Clade_8"	"Phytophthora_drechsleri"
OTU2	"Heterokontophyta"	"Oomycota"	"Pythiales"	"Pythiaceae"	"Phytophthora"	"Phytophthora_Clade_6"	"Phytophthora_inundata"
OTU3	"Heterokontophyta"	"Oomycota"	"Pythiales"	"Pythiaceae"	"Phytophthora"	"Phytophthora_Clade_8"	"Phytophthora_sansomeana"
OTU4	"Heterokontophyta"	"Oomycota"	"Pythiales"	"Pythiaceae"	"Pythium"	"Pythium_Clade_D"	"Pythium_acanthicum"
OTU5	"Heterokontophyta"	"Oomycota"	"Pythiales"	"Pythiaceae"	"Pythium"	"Pythium_Clade_B"	"Pythium_aff_dissotocum"
OTU6	"Heterokontophyta"	"Oomycota"	"Pythiales"	"Pythiaceae"	"Pythium"	"Pythium_Clade_B"	"Pythium_aff_torulosum"
OTU7	"Heterokontophyta"	"Oomycota"	"Pythiales"	"Pythiaceae"	"Pythium"	"Pythium_Clade_D"	"Pythium_amasculinum"
OTU8	"Heterokontophyta"	"Oomycota"	"Pythiales"	"Pythiaceae"	"Pythium"	"Pythium_Clade_A"	"Pythium_aphanidermatum"
OTU9	"Heterokontophyta"	"Oomycota"	"Pythiales"	"Pythiaceae"	"Pythium"	"Pythium_Clade_B"	"Pythium_aristosporum"
OTU10	"Heterokontophyta"	"Oomycota"	"Pythiales"	"Pythiaceae"	"Pythium"	"Pythium_Clade_B"	"Pythium_arrhenomanes"
OTU11	"Heterokontophyta"	"Oomycota"	"Pythiales"	"Pythiaceae"	"Pythium"	"Pythium_Clade_F"	"Pythium_attrantheridium"
OTU12	"Heterokontophyta"	"Oomycota"	"Pythiales"	"Pythiaceae"	"Pythium"	"Pythium_Clade_I"	"Pythium_heterothallicum"
OTU13	"Heterokontophyta"	"Oomycota"	"Pythiales"	"Pythiaceae"	"Pythium"	"Pythium_Clade_D"	"Pythium_hydnosporum"
OTU14	"Heterokontophyta"	"Oomycota"	"Pythiales"	"Pythiaceae"	"Pythium"	"Pythium_Clade_B"	"Pythium_inflatum"
OTU15	"Heterokontophyta"	"Oomycota"	"Pythiales"	"Pythiaceae"	"Pythium"	"Pythium_Clade_F"	"Pythium_irregulare"
OTU16	"Heterokontophyta"	"Oomycota"	"Pythiales"	"Pythiaceae"	"Phytopythium"	"Phytopythium"	"Phytopythium_litorale"
OTU17	"Heterokontophyta"	"Oomycota"	"Pythiales"	"Pythiaceae"	"Pythium"	"Pythium_Clade_E"	"Pythium_longandrum"
OTU18	"Heterokontophyta"	"Oomycota"	"Pythiales"	"Pythiaceae"	"Pythium"	"Pythium_Clade_B"	"Pythium_lutarium"
OTU19	"Heterokontophyta"	"Oomycota"	"Pythiales"	"Pythiaceae"	"Pythium"	"Pythium_Clade_J"	"Pythium_nodosum"
OTU20	"Heterokontophyta"	"Oomycota"	"Pythiales"	"Pythiaceae"	"Pythium"	"Pythium_Clade_J"	"Pythium_nunn"
OTU21	"Heterokontophyta"	"Oomycota"	"Pythiales"	"Pythiaceae"	"Pythium"	"Pythium_Clade_D"	"Pythium_oligandrum"
OTU22	"Heterokontophyta"	"Oomycota"	"Pythiales"	"Pythiaceae"	"Pythium"	"Pythium_Clade_J"	"Pythium_orthogonon"
OTU23	"Heterokontophyta"	"Oomycota"	"Pythiales"	"Pythiaceae"	"Pythium"	"Pythium_Clade_B"	"Pythium_pachycaule"
OTU24	"Heterokontophyta"	"Oomycota"	"Pythiales"	"Pythiaceae"	"Pythium"	"Pythium_Clade_B"	"Pythium_periilum"
OTU25	"Heterokontophyta"	"Oomycota"	"Pythiales"	"Pythiaceae"	"Pythium"	"Pythium_Clade_D"	"Pythium_periplocum"
OTU26	"Heterokontophyta"	"Oomycota"	"Pythiales"	"Pythiaceae"	"Pythium"	"Pythium_Clade_J"	"Pythium_perplexum"
OTU27	"Heterokontophyta"	"Oomycota"	"Pythiales"	"Pythiaceae"	"Pythium"	"Pythium_Clade_E"	"Pythium_pleroticum"
OTU28	"Heterokontophyta"	"Oomycota"	"Pythiales"	"Pythiaceae"	"Pythium"	"Pythium_Clade_E"	"Pythium_rostratifingens"
OTU29	"Heterokontophyta"	"Oomycota"	"Pythiales"	"Pythiaceae"	"Pythium"	"Pythium_Clade_F"	"Pythium_sp_balticum"
OTU30	"Heterokontophyta"	"Oomycota"	"Pythiales"	"Pythiaceae"	"Pythium"	"Pythium_Clade_F"	"Pythium_sylvaticum"
OTU31	"Heterokontophyta"	"Oomycota"	"Pythiales"	"Pythiaceae"	"Pythium"	"Pythium_Clade_B"	"Pythium_tardicrescens"
OTU32	"Heterokontophyta"	"Oomycota"	"Pythiales"	"Pythiaceae"	"Pythium"	"Pythium_Clade_I"	"Pythium_ultimum"
OTU33	"Heterokontophyta"	"Oomycota"	"Pythiales"	"Pythiaceae"	"Pythium"	"Pythium_Clade_I"	"Pythium_ultimum_var_ultimum"
